rgn_id,sector,year,value,analysis_year
2,cf,2004,4809.36512308583,2013
2,cf,2005,6653.67574229878,2013
2,cf,2006,7120.03719840633,2013
2,cf,2007,8682.74447449252,2013
2,cf,2008,7679.36893474004,2013
2,ph,1999,1630.16590433583,2013
2,ph,2000,2560.48844818376,2013
2,ph,2001,2804.93511841168,2013
2,ph,2002,3579.33422642896,2013
2,ph,2003,2841.5696016404,2013
2,ph,2004,3824.52688189993,2013
2,tour,2003,8742.6027477297,2013
2,tour,2004,8781.06133007256,2013
2,tour,2005,9683.57149216524,2013
2,tour,2006,10335.7022277311,2013
2,tour,2007,10763.7516902043,2013
2,tour,2008,10978.7135110621,2013
2,tran,2000,23848.6355947293,2013
2,tran,2001,22727.2344083867,2013
2,tran,2002,17316.2135806179,2013
2,tran,2003,15117.7808104078,2013
2,tran,2004,4175.44738247863,2013
3,cf,2002,6779.90479211181,2012
3,cf,2003,6311.20974114138,2012
3,cf,2004,4809.36512308583,2012
3,cf,2005,6653.67574229878,2012
3,cf,2006,7120.03719840633,2012
3,cf,2007,8682.74447449252,2012
3,ph,1999,1630.16590433583,2012
3,ph,2000,2560.48844818376,2012
3,ph,2001,2804.93511841168,2012
3,ph,2002,3579.33422642896,2012
3,ph,2003,2841.5696016404,2012
3,tour,2002,9196.50016415153,2012
3,tour,2003,8742.6027477297,2012
3,tour,2004,8781.06133007256,2012
3,tour,2005,9683.57149216524,2012
3,tour,2006,10335.7022277311,2012
3,tour,2007,10763.7516902043,2012
3,tran,2000,23848.6355947293,2012
3,tran,2001,22727.2344083867,2012
3,tran,2002,17316.2135806179,2012
3,tran,2003,15117.7808104078,2012
3,cf,2003,6311.20974114138,2013
3,cf,2004,4809.36512308583,2013
3,cf,2005,6653.67574229878,2013
3,cf,2006,7120.03719840633,2013
3,cf,2007,8682.74447449252,2013
3,cf,2008,7679.36893474004,2013
3,ph,1999,1630.16590433583,2013
3,ph,2000,2560.48844818376,2013
3,ph,2001,2804.93511841168,2013
3,ph,2002,3579.33422642896,2013
3,ph,2003,2841.5696016404,2013
3,ph,2004,3824.52688189993,2013
3,tour,2003,8742.6027477297,2013
3,tour,2004,8781.06133007256,2013
3,tour,2005,9683.57149216524,2013
3,tour,2006,10335.7022277311,2013
3,tour,2007,10763.7516902043,2013
3,tour,2008,10978.7135110621,2013
3,tran,2000,23848.6355947293,2013
3,tran,2001,22727.2344083867,2013
3,tran,2002,17316.2135806179,2013
3,tran,2003,15117.7808104078,2013
3,tran,2004,4175.44738247863,2013
4,cf,2002,6779.90479211181,2012
4,cf,2003,6311.20974114138,2012
4,cf,2004,4809.36512308583,2012
4,cf,2005,6653.67574229878,2012
4,cf,2006,7120.03719840633,2012
4,cf,2007,8682.74447449252,2012
4,ph,1999,1630.16590433583,2012
4,ph,2000,2560.48844818376,2012
4,ph,2001,2804.93511841168,2012
4,ph,2002,3579.33422642896,2012
4,ph,2003,2841.5696016404,2012
4,tour,2002,9196.50016415153,2012
4,tour,2003,8742.6027477297,2012
4,tour,2004,8781.06133007256,2012
4,tour,2005,9683.57149216524,2012
4,tour,2006,10335.7022277311,2012
4,tour,2007,10763.7516902043,2012
4,tran,2000,23848.6355947293,2012
4,tran,2001,22727.2344083867,2012
4,tran,2002,17316.2135806179,2012
4,tran,2003,15117.7808104078,2012
4,cf,2003,6311.20974114138,2013
4,cf,2004,4809.36512308583,2013
4,cf,2005,6653.67574229878,2013
4,cf,2006,7120.03719840633,2013
4,cf,2007,8682.74447449252,2013
4,cf,2008,7679.36893474004,2013
4,ph,1999,1630.16590433583,2013
4,ph,2000,2560.48844818376,2013
4,ph,2001,2804.93511841168,2013
4,ph,2002,3579.33422642896,2013
4,ph,2003,2841.5696016404,2013
4,ph,2004,3824.52688189993,2013
4,tour,2003,8742.6027477297,2013
4,tour,2004,8781.06133007256,2013
4,tour,2005,9683.57149216524,2013
4,tour,2006,10335.7022277311,2013
4,tour,2007,10763.7516902043,2013
4,tour,2008,10978.7135110621,2013
4,tran,2000,23848.6355947293,2013
4,tran,2001,22727.2344083867,2013
4,tran,2002,17316.2135806179,2013
4,tran,2003,15117.7808104078,2013
4,tran,2004,4175.44738247863,2013
5,cf,2002,6779.90479211181,2012
5,cf,2003,6311.20974114138,2012
5,cf,2004,4809.36512308583,2012
5,cf,2005,6653.67574229878,2012
5,cf,2006,7120.03719840633,2012
5,cf,2007,8682.74447449252,2012
5,ph,1999,1630.16590433583,2012
5,ph,2000,2560.48844818376,2012
5,ph,2001,2804.93511841168,2012
5,ph,2002,3579.33422642896,2012
5,ph,2003,2841.5696016404,2012
5,tour,2002,9196.50016415153,2012
5,tour,2003,8742.6027477297,2012
5,tour,2004,8781.06133007256,2012
5,tour,2005,9683.57149216524,2012
5,tour,2006,10335.7022277311,2012
5,tour,2007,10763.7516902043,2012
5,tran,2000,23848.6355947293,2012
5,tran,2001,22727.2344083867,2012
5,tran,2002,17316.2135806179,2012
5,tran,2003,15117.7808104078,2012
5,cf,2003,6311.20974114138,2013
5,cf,2004,4809.36512308583,2013
5,cf,2005,6653.67574229878,2013
5,cf,2006,7120.03719840633,2013
5,cf,2007,8682.74447449252,2013
5,cf,2008,7679.36893474004,2013
5,ph,1999,1630.16590433583,2013
5,ph,2000,2560.48844818376,2013
5,ph,2001,2804.93511841168,2013
5,ph,2002,3579.33422642896,2013
5,ph,2003,2841.5696016404,2013
5,ph,2004,3824.52688189993,2013
5,tour,2003,8742.6027477297,2013
5,tour,2004,8781.06133007256,2013
5,tour,2005,9683.57149216524,2013
5,tour,2006,10335.7022277311,2013
5,tour,2007,10763.7516902043,2013
5,tour,2008,10978.7135110621,2013
5,tran,2000,23848.6355947293,2013
5,tran,2001,22727.2344083867,2013
5,tran,2002,17316.2135806179,2013
5,tran,2003,15117.7808104078,2013
5,tran,2004,4175.44738247863,2013
